,Year,Month,Day,Hour,Day of week,DE/LU[€/MWh],Comsumption [MWh],Wind offshore[MWh],Wind onshore[MWh],PV[MWh],Other[MWh],Outlier
13512,2020,4,19,0,6,16.51,-1.7600089343983076,0.6081143057392412,0.41582248746367473,-1.0546367986635836,-1.9753290258514162,0
13513,2020,4,19,1,6,13.71,-2.03562941059877,0.579448812839315,0.37749561862350883,-1.0546367986635836,-2.027513750950685,0
13514,2020,4,19,2,6,12.12,-2.1214488112808407,0.4670800806716042,0.35196568768871256,-1.0546367986635836,-2.0420522998252046,0
13515,2020,4,19,3,6,9.3,-2.147895631540538,0.29852698242003806,0.3178620384601165,-1.0546367986635836,-2.0400303824320596,0
13516,2020,4,19,4,6,10.98,-2.1378054792326213,0.12366747573048811,0.28238718710761695,-1.0546367986635836,-1.9706112186007445,0
13517,2020,4,19,5,6,11.31,-2.111995931750266,0.007285574556787666,0.26140644995548307,-1.0546367986635836,-1.9356609322335219,0
13518,2020,4,19,6,6,11.66,-2.1040300220334895,-0.07011125627301312,0.23811333355878747,0.30737972635957767,-1.8759662282454286,0
13519,2020,4,19,7,6,11.15,-1.895960460231291,-0.08788386187096739,0.10854569577701667,0.8027975140556184,-1.686291120412293,0
13520,2020,4,19,8,6,14.01,-1.52910376474135,-0.12916217164686114,-0.13131574817361538,1.0351570620657362,-1.5554441805416173,0
13521,2020,4,19,9,6,12.47,-1.219814043471313,-0.21343872077264422,-0.21650946162609755,1.163295830565391,-1.3194575362273964,0
13522,2020,4,19,10,6,10.88,-0.9789249336359955,-0.33612703038432845,-0.09399720239154091,1.2388887368671413,-1.1365221530380778,0
13523,2020,4,19,11,6,8.39,-0.6905590018886911,-0.45365555127402596,0.10092119903204581,1.281224664345584,-0.9642740474982404,0
13524,2020,4,19,12,6,9.21,-0.7533303704568889,-0.5321990018198238,0.2260584011753969,1.3029029780280665,-0.8404556776132595,0
13525,2020,4,19,13,6,0.03,-0.9856162977980877,-0.5430918891217957,0.31923317452091216,1.3094927072248077,-0.906697542683918,1
13526,2020,4,19,14,6,-18.5,-1.145146916392729,-0.4593886498540112,0.42287442911793827,1.3031887583079989,-1.0900180529957404,1
13527,2020,4,19,15,6,-26.0,-1.2521025308566465,-0.3235142135083609,0.4996967092690823,1.2811265275172288,-1.2545636160855012,1
13528,2020,4,19,16,6,-11.84,-1.2621926831645631,-0.16700062227476375,0.5646543328852314,1.2350534510364084,-1.3861808102011846,1
13529,2020,4,19,17,6,4.99,-1.0895979726344085,0.015311912568767008,0.6230613092354065,1.1463275095315182,-1.3993714141469407,0
13530,2020,4,19,18,6,11.2,-0.8660214399168852,0.19303796854830957,0.6414368287448028,0.9778998918597249,-1.3699091892753978,0
13531,2020,4,19,19,6,15.42,-0.8403181045640868,0.32719247531996426,0.6686542384107287,0.6710783676468125,-1.3826183843180242,0
13532,2020,4,19,20,6,15.59,-0.8744121981518896,0.4206419821737237,0.8300320150952478,-0.0008359735857784523,-1.4396171984485908,0
13533,2020,4,19,21,6,12.73,-0.9740391756763728,0.4682267003876013,0.9451558052504483,-1.0546367986635836,-1.436921308591064,0
13534,2020,4,19,22,6,12.34,-1.1131770653960666,0.5341573340574316,0.98212512518978,-1.0546367986635836,-1.3981197509988033,0
13535,2020,4,19,23,6,10.19,-1.4440278489661784,0.4945989538555334,0.991022895568703,-1.0546367986635836,-1.5411944770089756,0
13536,2020,4,20,0,0,4.43,-1.598991345989868,0.3306323344679554,1.0607094324661266,-1.0546367986635836,-1.744445315910371,0
13537,2020,4,20,1,0,4.38,-1.7582033281958382,0.25208888392215756,1.0377785454856479,-1.0546367986635836,-1.8062582190722356,0
13538,2020,4,20,2,0,3.69,-1.7931471188200974,0.16207923621638926,1.0019472104659237,-1.0546367986635836,-1.7748703585881735,0
13539,2020,4,20,3,0,0.66,-1.7420590845031716,0.08296247581259289,0.9864353119086723,-1.0546367986635836,-1.7470449239872718,1
13540,2020,4,20,4,0,0.03,-1.5475846752842712,0.05143043362267404,0.9822434284568944,-1.0546367986635836,-1.7616797546424174,1
13541,2020,4,20,5,0,4.78,-1.1245417632586676,0.07493613780061355,0.9770859284492255,-1.0546367986635836,-1.6705971901702619,0
13542,2020,4,20,6,0,18.0,-0.3548224603589565,0.10188170112654418,0.9649007929789664,0.3918666167197407,-1.2860477583501893,0
13543,2020,4,20,7,0,22.82,0.2028974319449462,0.144306630618435,0.8861786716883396,0.8735037147606952,-0.8497950103339773,0
13544,2020,4,20,8,0,22.93,0.5156921534903649,0.13628029260645566,0.7509844982800863,1.1048901329449596,-0.558446342159831,0
13545,2020,4,20,9,0,16.07,0.5762330673378653,0.09385536311456485,0.7204085722721739,1.2267657230995272,-0.5048173903511729,0
13546,2020,4,20,10,0,11.72,0.6670444381091158,0.059456771634653384,0.8652805556290745,1.2935483715333123,-0.4877755151803785,0
13547,2020,4,20,11,0,5.46,0.8245570262421739,0.045124025184690275,1.036368826963485,1.328239987463506,-0.4929747313341802,0
13548,2020,4,20,12,0,-4.98,0.807350661253937,0.06977634907862683,1.1407131956494558,1.3439732952133179,-0.46611211453953816,1
13549,2020,4,20,13,0,-29.7,0.6942347432757126,0.14831979962442465,1.203174597528497,1.345554923559768,-0.5936854738689313,1
13550,2020,4,20,14,0,-44.25,0.5548844292969046,0.2767412078160941,1.2627814332003833,1.3342657294543157,-0.774021248981349,1
13551,2020,4,20,15,0,-39.49,0.42509320697822833,0.4338281089076898,1.3049807360764676,1.3065205638695478,-0.9034239621426354,1
13552,2020,4,20,16,0,-23.71,0.28181304420581077,0.5977947282952678,1.3373794952621112,1.2542215230676534,-0.9972986982529437,1
13553,2020,4,20,17,0,4.01,0.27544031643238964,0.7990264884527498,1.3706607893955252,1.158965182585283,-1.0538161034803806,0
13554,2020,4,20,18,0,16.38,0.34001729120305674,0.9612731782663323,1.36745187267375,0.9851153136604749,-1.1562599180663988,0
13555,2020,4,20,19,0,17.81,0.31569471353449957,1.060455783700077,1.3362069771917915,0.6756635037410053,-1.0601707010016936,0
13556,2020,4,20,20,0,18.38,0.18728424890006454,1.106320572339959,1.37864403954872,0.018108950879492523,-1.1443209772687803,0
13557,2020,4,20,21,0,14.05,-0.04850667871651593,1.180850853879767,1.4238021040655844,-1.0546367986635836,-1.3029933517403576,0
13558,2020,4,20,22,0,10.28,-0.38265003830289523,1.2914996564734822,1.4153577128459427,-1.0546367986635836,-1.3813667211698868,0
13559,2020,4,20,23,0,4.85,-0.8208812848551524,1.3046857832074483,1.3970446931720668,-1.0546367986635836,-1.582980769800641,0
13560,2020,4,21,0,1,4.65,-1.2543329855773437,1.2892064170414883,1.3592197682730889,-1.0546367986635836,-1.5819216702137555,0
13561,2020,4,21,1,1,4.31,-1.4365929998971871,1.261687543857559,1.3409331489877587,-1.0546367986635836,-1.6600061943014066,0
13562,2020,4,21,2,1,3.69,-1.5154024000284947,1.2261423326616505,1.3162212898930432,-1.0546367986635836,-1.7272108771783248,0
13563,2020,4,21,3,1,-0.59,-1.4923543679146216,1.2227024735136593,1.300686561818467,-1.0546367986635836,-1.7480077417935316,1
13564,2020,4,21,4,1,3.72,-1.3464189019032786,1.2565277551355722,1.2943502149533344,-1.0546367986635836,-1.7093987477625228,0
13565,2020,4,21,5,1,4.73,-0.9928387226079649,1.2857665578934971,1.2893825548189142,-1.0546367986635836,-1.5755670726924422,0
13566,2020,4,21,6,1,10.0,-0.3123376085361492,1.2634074734315546,1.2816171448059934,0.41883265909198325,-1.275167917139456,0
13567,2020,4,21,7,1,16.13,0.22817591877951654,1.283473318461503,1.1835405271975632,0.8847770566805527,-0.9206584008746818,0
